Id,Gender,Age,3、请选择你是否独生子女？,4、请选择你1否1右撇子？,5、请选择你所在的地区？,6、请选择你的民族？,7、请选择你所学的专业？,8、请选择你的教育程度？,IAS1,IAS2,IAS3,IAS3(R),IAS4,IAS5,IAS6,IAS6(R),IAS7,IAS8,IAS9,IAS10,IAS10(R),IAS11,IAS12,IAS13,IAS14,IAS15,IAS15(R),SS1,SS2,SS3,SS3(R),SS4,SS5,SS6,SS6(R),SS7,SS8,SS9,SS9(R),SS10,SS11,SS12,SS12(R),SS13,PRCA-24-1,PRCA-24-2,PRCA-24-3,PRCA-24-4,PRCA-24-5,PRCA-24-6,PRCA-24-7,PRCA-24-8,PRCA-24-9,PRCA-24-10,PRCA-24-11,PRCA-24-12,PRCA-24-13,PRCA-24-14,PRCA-24-15,PRCA-24-16,PRCA-24-17,PRCA-24-18,PRCA-24-19,PRCA-24-20,PRCA-24-21,PRCA-24-22,PRCA-24-23,PRCA-24-24
1,女,22,2,1,江西省/抚州市/临川区,汉族,管理学,本科,3,4,2,4,4,3,2,4,3,4,5,2,4,4,4,3,4,2,4,4,3,2,4,3,3,2,4,4,4,2,4,3,3,1,5,4,4,2,3,1,4,2,4,2,2,4,4,1,3,2,4,2,1,3,1,4,2,4,4,3
2,女,29,1,1,广东省/广州市/花都区,汉族,教育学,本科,2,2,4,2,3,2,4,2,2,2,5,2,4,2,2,1,3,4,2,2,1,4,2,2,1,4,2,2,3,5,1,2,2,4,2,2,2,4,2,4,2,4,1,4,4,2,2,4,1,4,2,4,5,2,1,2,4,2,5,2
3,女,22,2,1,河南省/新乡市/新乡县,汉族,理学（其他）,本科,4,4,1,5,3,2,1,5,4,4,4,1,5,4,4,2,4,1,5,4,3,1,5,3,4,1,5,4,3,1,5,2,4,1,5,4,3,1,1,1,2,3,2,3,2,3,4,2,4,2,4,2,2,2,2,4,1,2,3,2
4,女,25,2,1,山西省/太原市/迎泽区,汉族,医学,本科,2,2,3,3,2,2,2,4,2,2,3,3,3,2,2,2,3,3,3,2,2,4,2,2,2,2,4,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,2,3,2,3,2,3,1
5,女,20,2,1,江苏省/南京市/浦口区,汉族,理学（其他）,本科,1,1,2,4,2,1,1,5,1,2,2,4,2,2,3,2,3,5,1,2,2,2,4,2,3,2,4,2,3,2,4,2,2,4,2,4,2,2,2,2,2,4,2,3,2,4,2,2,2,2,2,2,2,2,2,4,2,4,2,2
6,女,22,2,1,浙江省/温州市/文成县,汉族,文学,本科,3,3,2,4,3,3,2,4,3,4,3,2,4,3,3,4,4,2,4,3,4,2,4,3,4,2,4,3,4,2,4,3,3,2,4,3,4,2,3,2,3,2,3,2,1,3,3,2,3,2,3,2,2,3,2,3,2,4,3,3
7,女,20,2,1,浙江省/金华市/东阳市,汉族,心理学,本科,3,3,2,4,4,3,2,4,2,4,3,2,4,3,3,4,5,2,4,3,2,3,3,3,3,2,4,3,4,2,4,2,4,3,3,3,4,2,2,2,2,3,2,2,1,3,4,2,2,2,2,3,2,3,1,4,2,4,5,4
8,女,20,1,1,山西省/晋中市/榆次区,汉族,理学（化学）,本科,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,2,4,2,2,4,4,2,4,2,4,2,2,4,2,4,2,4,4,4
9,女,23,1,1,四川省/成都市/锦江区,汉族,历史学,本科,4,3,3,3,4,4,4,2,3,4,4,4,2,5,4,4,5,4,2,4,5,3,3,4,4,3,3,4,4,2,4,2,3,2,4,3,3,3,4,2,3,2,3,2,1,3,3,2,3,2,3,2,2,3,2,4,2,3,2,4
10,男,16,2,1,海南省/省直辖县级行政区划/临高县,汉族,哲学,高中,4,4,2,4,4,4,2,4,2,4,4,2,4,2,5,4,4,4,2,4,4,5,1,4,4,2,4,2,3,3,3,4,4,3,3,3,4,3,3,2,2,2,4,4,2,3,4,2,3,2,3,2,2,3,2,3,2,2,3,4
11,女,22,2,1,上海市/市辖区/奉贤区,汉族,经济学,硕士,4,5,1,5,4,4,2,4,4,5,5,2,4,4,5,5,4,2,4,4,5,2,4,4,4,2,4,2,4,2,4,3,4,2,4,5,3,2,4,2,4,2,4,2,2,4,4,2,3,2,4,2,2,4,2,4,2,5,5,4
12,男,22,2,1,山东省/济南市/槐荫区,汉族,理学（数学）,本科,4,5,1,5,4,5,1,5,4,5,4,1,5,5,5,4,4,1,5,5,5,1,5,4,5,1,5,1,5,1,5,4,5,1,5,5,5,1,5,1,5,1,5,1,1,5,5,1,5,1,5,1,1,4,1,5,1,5,5,4
13,女,22,2,1,北京市/市辖区/海淀区,汉族,心理学,本科,4,5,2,4,3,4,2,4,2,5,3,2,4,3,4,3,5,2,4,4,5,3,3,4,3,2,4,4,5,2,4,2,3,3,3,4,2,1,2,2,4,1,4,2,1,2,3,2,2,2,2,2,3,2,2,3,2,3,4,4
14,女,20,1,1,山西省/晋中市/榆次区,汉族,理学（化学）,本科,4,4,2,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,2,4,2,4,2,2,4,4,2,4,2,4,2,2,4,2,4,2,4,4,4
15,男,22,2,1,河北省/秦皇岛市/海港区,汉族,工学（机械与自动化类）,本科,2,3,3,3,3,2,3,3,3,4,3,3,3,2,4,4,4,3,3,3,2,4,2,2,1,3,3,3,4,2,4,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2,2,3,2,3,3,2,2,3,2,3,4,2
16,男,21,1,1,北京市/市辖区/海淀区,汉族,工学（计算机类）,本科,2,2,3,3,4,2,4,2,2,2,4,4,2,4,4,2,4,4,2,2,2,4,2,2,4,4,2,2,4,2,4,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,2,4,2,4,2,4,4,2,4,2,4,2,4,2
17,男,20,2,1,江苏省/徐州市/铜山区,回族,教育学,本科,3,3,3,3,4,3,4,2,4,5,4,3,3,3,4,2,3,4,2,3,2,3,3,3,4,3,3,4,3,4,2,4,4,3,3,4,2,4,2,4,3,4,4,3,4,4,3,5,2,3,2,4,5,3,3,2,3,3,4,2
18,男,33,1,1,湖南省/长沙市/天心区,汉族,工学（材料类）,本科,2,1,5,1,2,2,5,1,1,2,4,4,2,2,1,2,3,5,1,2,1,4,2,1,1,4,2,5,2,5,1,4,4,5,1,1,1,4,1,5,1,4,2,5,4,1,2,4,5,3,4,5,4,2,2,4,5,3,5,1
19,女,21,1,1,浙江省/杭州市/西湖区,汉族,其他专业,本科,2,2,2,4,4,2,2,4,4,4,2,3,3,3,3,4,4,4,2,2,2,2,4,3,4,4,2,2,4,2,4,2,4,2,4,2,2,3,2,2,4,2,2,2,2,2,4,2,2,3,2,2,2,2,4,2,3,3,4,3
20,男,22,2,1,广东省/广州市/天河区,汉族,工学（计算机类）,本科,2,2,3,3,2,2,4,2,2,4,3,3,3,2,4,1,4,4,2,2,2,5,1,2,2,4,2,2,4,4,2,1,2,4,2,2,1,4,2,3,2,4,2,5,4,4,2,4,1,3,2,3,4,2,3,4,4,3,4,2
21,女,22,2,1,广东省/广州市/天河区,汉族,文学,本科,3,4,2,4,4,3,1,5,3,4,3,1,5,4,3,3,4,1,5,3,3,2,4,4,3,1,5,3,4,2,4,3,4,1,5,3,4,2,3,2,3,2,4,2,1,3,3,2,3,2,4,2,3,3,1,4,2,3,3,4
22,男,20,1,1,广东省/广州市/白云区,汉族,工学（机械与自动化类）,本科,2,2,4,2,2,2,4,2,2,2,3,3,3,1,2,2,3,3,3,2,2,4,2,2,2,3,3,2,3,4,2,2,2,3,3,2,3,3,2,2,2,3,2,3,3,2,2,3,2,3,2,3,3,2,3,2,3,2,3,2
23,女,20,2,1,河北省/邯郸市/肥乡区,汉族,农学,本科,4,4,2,4,4,3,2,4,3,4,4,2,4,4,4,4,4,2,4,3,3,2,4,3,3,2,4,4,4,2,4,3,3,2,4,3,4,2,4,2,4,2,3,2,2,4,4,2,3,2,3,2,2,3,2,3,2,2,4,2
24,女,20,1,1,北京市/市辖区/丰台区,汉族,历史学,本科,4,4,2,4,5,4,2,4,3,5,4,2,4,5,4,4,5,2,4,4,3,2,4,4,4,2,4,4,5,1,5,5,4,2,4,4,3,2,3,2,4,2,5,2,4,4,5,2,3,1,3,2,2,4,1,5,1,4,5,5
25,女,19,2,1,浙江省/杭州市/西湖区,汉族,文学,本科,2,4,2,4,4,3,2,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,2,2,4,4,2,4,4,3,3,4,4,2,4,4,2,4,2,2,4,3,4,2,2,4,4,2,4,2,4,2,2,4,2,4,2,4,4,4
26,女,22,2,1,四川省/成都市/郫都区,汉族,工学（材料类）,本科,4,3,3,3,5,4,3,3,2,4,5,2,4,4,3,4,4,2,4,3,3,3,3,3,3,2,4,2,4,2,4,3,3,2,4,3,2,3,2,2,4,3,4,2,2,4,3,2,2,3,3,2,3,3,2,4,2,3,4,5
27,女,21,1,1,安徽省/合肥市/蜀山区,汉族,文学,本科,5,5,2,4,5,5,2,4,3,5,5,2,4,3,4,4,5,1,5,5,3,2,4,4,4,3,3,2,5,2,4,4,5,2,4,4,4,2,4,1,5,1,5,1,1,4,4,1,4,1,5,1,2,4,1,5,1,5,5,5
28,女,24,2,1,山西省/运城市/盐湖区,汉族,文学,本科,4,3,2,4,3,2,3,3,4,4,4,4,2,2,4,4,3,2,4,4,2,2,4,2,2,2,4,4,4,2,4,2,2,2,4,2,2,3,2,4,4,4,4,2,2,4,4,3,2,2,2,2,2,2,2,4,2,3,2,3
29,女,24,1,1,广东省/广州市/白云区,汉族,医学,本科,5,5,2,4,3,4,2,4,3,5,5,2,4,3,5,5,5,2,4,5,3,2,4,5,3,3,3,3,5,2,4,5,5,3,3,4,3,2,4,2,4,2,4,2,2,4,5,2,4,2,4,2,2,3,2,5,2,5,5,5
30,女,42,2,1,山东省/济南市/市辖区,汉族,管理学,大专,1,2,3,3,2,1,4,2,2,2,2,2,4,2,2,2,2,4,2,2,2,3,3,3,2,3,3,3,2,2,4,2,2,3,3,2,4,4,2,3,2,3,3,4,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2
31,女,18,1,1,湖南省/株洲市/荷塘区,土家族,心理学,本科,3,5,2,4,5,4,2,4,4,4,5,1,5,5,4,4,4,1,5,4,2,1,5,4,4,4,2,4,4,2,4,4,4,1,5,2,3,2,4,4,4,2,4,2,1,5,5,1,3,2,2,1,1,3,2,3,2,4,4,3
32,女,26,2,1,安徽省/阜阳市/颍东区,汉族,教育学,大专,2,4,2,4,3,2,4,2,4,4,5,2,4,5,2,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,3,3,2,4,4,2,4,2,3,3,2,3,2,2,2,2,2,3,2,3,2,2,3,2,3,2,3,3,4
33,男,19,1,1,重庆市/市辖区/开州区,汉族,工学（计算机类）,大专,5,5,1,5,1,5,5,1,4,4,5,1,5,5,5,4,5,2,4,5,5,2,4,4,4,4,2,5,5,1,5,4,4,2,4,5,2,5,2,4,5,4,4,2,2,5,5,2,4,2,2,2,2,3,2,3,2,4,2,4
34,男,44,1,2,辽宁省/辽阳市/宏伟区,汉族,理学（物理学）,本科,4,3,2,4,5,3,2,4,4,5,4,4,2,5,5,4,5,4,2,3,4,5,1,4,5,3,3,2,4,1,5,2,4,1,5,5,2,4,3,5,4,4,3,2,2,4,2,4,5,1,2,4,2,4,1,4,2,4,3,4
35,男,21,2,1,北京市/市辖区/石景山区,汉族,理学（其他）,本科,2,2,3,3,3,2,4,2,2,3,4,3,3,3,2,2,3,3,3,2,2,4,2,2,2,4,2,2,3,4,2,2,2,4,2,2,3,3,2,2,2,3,2,4,4,2,2,4,2,4,2,4,4,2,3,2,3,2,4,2
36,女,22,2,1,广东省/珠海市/金湾区,汉族,工学（计算机类）,本科,3,3,2,4,3,3,2,4,3,3,5,2,4,3,3,3,5,2,4,3,3,2,4,3,3,2,4,3,5,2,4,3,3,2,4,3,3,2,3,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3,2,3,2,3,5,3
37,女,22,2,1,陕西省/西安市/雁塔区,汉族,教育学,本科,2,5,3,3,4,2,5,1,3,5,5,2,4,5,4,5,5,1,5,5,3,3,3,4,4,2,4,1,5,2,4,4,4,3,3,5,4,1,5,1,3,2,5,1,1,4,5,1,3,2,4,2,2,5,1,5,2,4,5,4
38,女,25,2,1,天津市/市辖区/滨海新区,汉族,医学,本科,2,3,2,4,3,2,2,4,2,3,4,2,4,3,2,3,3,2,4,3,3,2,4,2,2,3,3,2,3,2,4,2,3,2,4,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,5,5
39,女,26,2,1,湖北省/孝感市/孝昌县,汉族,文学,硕士,3,3,2,4,4,4,2,4,4,4,4,2,4,3,4,4,4,2,4,3,4,3,3,3,3,2,4,4,4,2,4,3,3,2,4,2,4,3,3,2,4,2,4,2,2,3,3,2,2,2,2,4,3,4,2,4,2,4,3,3
40,男,20,2,1,山东省/青岛市/黄岛区,汉族,工学（机械与自动化类）,本科,2,4,2,4,3,3,2,4,2,3,3,2,4,3,4,3,3,2,4,4,3,2,4,3,3,2,4,3,3,2,4,3,2,2,4,4,3,2,2,2,2,3,2,3,3,2,2,3,2,3,2,3,3,2,3,3,2,2,3,2
41,男,22,2,1,浙江省/杭州市/西湖区,汉族,工学（其他类）,硕士,5,5,1,5,5,5,1,5,4,5,5,1,5,5,4,5,5,1,5,5,5,1,5,5,5,1,5,5,5,1,5,4,5,1,5,5,5,1,5,2,5,2,5,1,1,5,5,1,5,1,5,1,1,5,1,5,1,5,1,5
